,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-03 08:30:00,13.915,730.0,76.0,8.4,1037.57
2022-03-03 08:45:00,13.915,730.0,76.0,8.4,1098.65
2022-03-03 09:00:00,13.915,730.0,76.0,8.4,559.728
2022-03-03 09:15:00,13.915,730.0,76.0,8.4,1090.16
2022-03-03 09:30:00,13.915,730.0,76.0,8.4,751.919
2022-03-03 09:45:00,13.915,730.0,76.0,8.4,569.21
2022-03-03 10:00:00,13.915,730.0,76.0,8.4,915.355
2022-03-03 10:15:00,13.915,730.0,76.0,8.4,1159.13
2022-03-03 10:30:00,13.915,730.0,76.0,8.4,1353.48
2022-03-03 10:45:00,13.915,730.0,76.0,8.4,577.359
2022-03-03 11:00:00,13.915,730.0,76.0,8.4,778.698
2022-03-03 11:15:00,13.915,730.0,76.0,8.4,899.886
2022-03-03 11:30:00,13.915,730.0,76.0,8.4,730.123
2022-03-03 11:45:00,13.915,730.0,76.0,8.4,987.439
2022-03-03 12:00:00,13.915,730.0,76.0,8.4,649.0
2022-03-03 12:15:00,13.915,730.0,76.0,8.4,660.92
2022-03-03 12:30:00,13.915,730.0,76.0,8.4,240.54
2022-03-03 12:45:00,13.915,730.0,76.0,8.4,1348.67
2022-03-03 13:00:00,13.915,730.0,76.0,8.4,928.395
2022-03-03 13:15:00,13.915,730.0,76.0,8.4,1224.53
2022-03-03 13:30:00,13.915,730.0,76.0,8.4,418.103
2022-03-03 13:45:00,13.915,730.0,76.0,8.4,353.176
2022-03-03 14:00:00,13.915,730.0,76.0,8.4,878.895
2022-03-03 14:15:00,13.915,730.0,76.0,8.4,370.004
2022-03-03 14:30:00,13.915,730.0,76.0,8.4,544.869
2022-03-03 14:45:00,13.915,730.0,76.0,8.4,571.395
2022-03-03 15:00:00,13.915,730.0,76.0,8.4,841.294
2022-03-03 15:15:00,13.915,730.0,76.0,8.4,765.255
2022-03-03 15:30:00,13.915,730.0,76.0,8.4,623.816
2022-03-03 15:45:00,13.915,730.0,76.0,8.4,1427.22
2022-03-03 16:00:00,13.915,730.0,76.0,8.4,374.087
2022-03-03 16:15:00,13.915,730.0,76.0,8.4,1076.95
2022-03-03 16:30:00,13.915,730.0,76.0,8.4,626.877
2022-03-03 16:45:00,13.915,730.0,76.0,8.4,472.526
2022-03-03 17:00:00,13.915,730.0,76.0,8.4,929.213
2022-03-03 17:15:00,13.915,730.0,76.0,8.4,796.994
2022-03-03 17:30:00,13.915,730.0,76.0,8.4,961.941
2022-03-03 17:45:00,13.915,730.0,76.0,8.4,119.191
2022-03-03 18:00:00,13.915,730.0,76.0,8.4,1054.24
2022-03-03 18:15:00,13.915,730.0,76.0,8.4,928.142
2022-03-03 18:30:00,13.915,730.0,76.0,8.4,463.563
2022-03-03 18:45:00,13.915,730.0,76.0,8.4,1099.09
2022-03-03 19:00:00,13.915,730.0,76.0,8.4,1334.09
2022-03-03 19:15:00,13.915,730.0,76.0,8.4,933.663
2022-03-03 19:30:00,13.915,730.0,76.0,8.4,1036.16
2022-03-03 19:45:00,13.915,730.0,76.0,8.4,883.049
2022-03-03 20:00:00,13.915,730.0,76.0,8.4,1229.11
2022-03-03 20:15:00,13.915,730.0,76.0,8.4,1058.89
2022-03-03 20:30:00,13.915,730.0,76.0,8.4,515.395
2022-03-03 20:45:00,13.915,730.0,76.0,8.4,1008.65
2022-03-03 21:00:00,13.915,730.0,76.0,8.4,500.566
2022-03-03 21:15:00,13.915,730.0,76.0,8.4,946.575
2022-03-03 21:30:00,13.915,730.0,76.0,8.4,684.401
2022-03-03 21:45:00,13.915,730.0,76.0,8.4,869.09
2022-03-03 22:00:00,13.915,730.0,76.0,8.4,169.986
2022-03-03 22:15:00,13.915,730.0,76.0,8.4,177.786
2022-03-03 22:30:00,13.915,730.0,76.0,8.4,608.774
2022-03-03 22:45:00,13.915,730.0,76.0,8.4,1094.52
2022-03-03 23:00:00,13.915,730.0,76.0,8.4,1204.64
2022-03-03 23:15:00,13.915,730.0,76.0,8.4,848.704
2022-03-03 23:30:00,13.915,730.0,76.0,8.4,490.004
2022-03-03 23:45:00,13.915,730.0,76.0,8.4,970.22
2022-03-04 00:00:00,13.961,730.0,76.0,8.4,984.503
2022-03-04 00:15:00,13.961,730.0,76.0,8.4,862.171
2022-03-04 00:30:00,13.961,730.0,76.0,8.4,338.491
2022-03-04 00:45:00,13.961,730.0,76.0,8.4,557.748
2022-03-04 01:00:00,13.961,730.0,76.0,8.4,494.697
2022-03-04 01:15:00,13.961,730.0,76.0,8.4,365.576
2022-03-04 01:30:00,13.961,730.0,76.0,8.4,748.229
2022-03-04 01:45:00,13.961,730.0,76.0,8.4,69.8558
2022-03-04 02:00:00,13.961,730.0,76.0,8.4,485.008
2022-03-04 02:15:00,13.961,730.0,76.0,8.4,237.58
2022-03-04 02:30:00,13.961,730.0,76.0,8.4,27.1275
2022-03-04 02:45:00,13.961,730.0,76.0,8.4,101.576
2022-03-04 03:00:00,13.961,730.0,76.0,8.4,342.821
