Unnamed: 0,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-08 12:00:00,13.631,820.0,79.0,8.8,18508.314000000002
2022-03-08 13:00:00,13.631,820.0,79.0,8.8,13838.909999999998
2022-03-08 14:00:00,13.631,820.0,79.0,8.8,16586.07
2022-03-08 15:00:00,13.631,820.0,79.0,8.8,10382.826000000001
2022-03-08 16:00:00,13.631,820.0,79.0,8.8,14502.672
2022-03-08 17:00:00,13.631,820.0,79.0,8.8,18864.426
2022-03-08 18:00:00,13.631,820.0,79.0,8.8,15574.932
2022-03-08 19:00:00,13.631,820.0,79.0,8.8,9822.876
2022-03-08 20:00:00,13.631,820.0,79.0,8.8,19183.77
2022-03-08 21:00:00,13.631,820.0,79.0,8.8,17988.678
2022-03-08 22:00:00,13.631,820.0,79.0,8.8,23153.676000000003
2022-03-08 23:00:00,13.631,820.0,79.0,8.8,10731.654
2022-03-09 00:00:00,13.826,820.0,79.0,8.8,9945.0132
2022-03-09 01:00:00,13.826,820.0,79.0,8.8,6433.3859999999995
2022-03-09 02:00:00,13.826,820.0,79.0,8.8,7850.251799999999
2022-03-09 03:00:00,13.826,820.0,79.0,8.8,7943.9556
2022-03-09 04:00:00,13.826,820.0,79.0,8.8,6708.923999999999
2022-03-09 05:00:00,13.826,820.0,79.0,8.8,11353.518000000002
2022-03-09 06:00:00,13.826,820.0,79.0,8.8,7585.46634
2022-03-09 07:00:00,13.826,820.0,79.0,8.8,12083.13
2022-03-09 08:00:00,13.826,820.0,79.0,8.8,15861.774
2022-03-09 09:00:00,13.826,820.0,79.0,8.8,21974.526
2022-03-09 10:00:00,13.826,820.0,79.0,8.8,14563.859999999999
2022-03-09 11:00:00,13.826,820.0,79.0,8.8,22160.382
2022-03-09 12:00:00,13.826,820.0,79.0,8.8,17597.946
2022-03-09 13:00:00,13.826,820.0,79.0,8.8,15449.028
2022-03-09 14:00:00,13.826,820.0,79.0,8.8,19287.564000000002
2022-03-09 15:00:00,13.826,820.0,79.0,8.8,21401.255999999998
2022-03-09 16:00:00,13.826,820.0,79.0,8.8,14444.37
2022-03-09 17:00:00,13.826,820.0,79.0,8.8,18558.672
2022-03-09 18:00:00,13.826,820.0,79.0,8.8,6583.898400000001
2022-03-09 19:00:00,13.826,820.0,79.0,8.8,15765.402
2022-03-09 20:00:00,13.826,820.0,79.0,8.8,15149.904
2022-03-09 21:00:00,13.826,820.0,79.0,8.8,18322.404
2022-03-09 22:00:00,13.826,820.0,79.0,8.8,15642.258
2022-03-09 23:00:00,13.826,820.0,79.0,8.8,15090.666
2022-03-10 00:00:00,14.124,820.0,79.0,8.8,6748.306199999999
2022-03-10 01:00:00,14.124,820.0,79.0,8.8,6751.4574
2022-03-10 02:00:00,14.124,820.0,79.0,8.8,8184.0960000000005
2022-03-10 03:00:00,14.124,820.0,79.0,8.8,4372.31232
2022-03-10 04:00:00,14.124,820.0,79.0,8.8,3107.25432
2022-03-10 05:00:00,14.124,820.0,79.0,8.8,4446.98874
2022-03-10 06:00:00,14.124,820.0,79.0,8.8,3998.2967399999998
2022-03-10 07:00:00,14.124,820.0,79.0,8.8,7650.78
2022-03-10 08:00:00,14.124,820.0,79.0,8.8,16291.884
2022-03-10 09:00:00,14.124,820.0,79.0,8.8,12612.954
2022-03-10 10:00:00,14.124,820.0,79.0,8.8,18379.926
2022-03-10 11:00:00,14.124,820.0,79.0,8.8,19615.806
2022-03-10 12:00:00,14.124,820.0,79.0,8.8,25650.012000000002
2022-03-10 13:00:00,14.124,820.0,79.0,8.8,16431.618
2022-03-10 14:00:00,14.124,820.0,79.0,8.8,12928.542
2022-03-10 15:00:00,14.124,820.0,79.0,8.8,14135.993999999999
